n_tree;units;cbh;height
1;1;51;8
2;1;28;7,5
3;1;87,05;9
4;1;87,55;9
5;1;27,66;8
6;1;113,02;8
9;1;46;8
10;1;64,01;8
11;1;19;5
12;1;16;5
13;1;24,04;5
14;1;16;4
15;1;21;5
1;2;26;7,2
2;2;20;6
3;2;31,24;7
4;2;23;7
5;2;25;7,5
6;2;38,92;6,5
7;2;40;8
8;2;51,97;9
9;2;21;7
10;2;16;6
11;2;23;8
12;2;88,9;9
13;2;72,31;9
14;2;43,66;7,5
16;2;21;7,5
17;2;47,2;9,3
18;2;69,77;10
19;2;17;7
20;2;20;7,5
21;2;65,43;9,5
22;2;26,91;5,5
23;2;36;9
24;2;26;9
1;3;45;8,7
2;3;30,72;9
3;3;26;7,5
4;3;65,74;8,5
5;3;26;7,3
6;3;22;7
7;3;22;5
8;3;21;6,5
9;3;41,59;8
10;3;23;8
11;3;20;7,5
12;3;36,28;6
13;3;52,24;9
14;3;32,31;7,7
15;3;52,24;9
16;3;20,62;9,3
17;3;63,56;9,5
18;3;39,26;9,5
19;3;68;10
20;3;30,3;10
21;3;19;7,5
22;3;36,72;8,8
23;3;75,66;9,5
24;3;51,55;8,5
1;5;28;7,5
2;5;16;6,4
3;5;18;6
4;5;44,42;11
5;5;51;11,4
6;5;18;11,3
7;5;21;11,5
8;5;36;10,6
9;5;58;11
10;5;37;12
11;5;39;12
12;5;40;12
13;5;30;10
14;5;24;9,5
15;5;25;10
16;5;17;10,3
17;5;42;12
18;5;19;8
19;5;37;9
20;5;19;8,5
21;5;21;8,8
22;5;16;7
23;5;60,73;9,5
24;5;19;6,6
25;5;23;7,4
26;5;35;13
27;5;22;9
1;4;43;8
2;4;46,95;8,2
3;4;26;6
4;4;34;6,7
5;4;19;6,5
6;4;39,72;6
7;4;21;6,2
8;4;61,64;7
9;4;41,44;6
10;4;41;6,3
11;4;53,46;6,5
12;4;72;10
13;4;24,21;9,8
14;4;46;10,2
15;4;35;11
16;4;24;5
17;4;32,76;6
18;4;17;7
19;4;49,83;6
20;4;63,51;8
21;4;47,8;11
