# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Sep 26 16:11:26 2021
#
# User preference: *
#
# COLUMN toipfx:         TESS Object of Interest Prefix
# COLUMN tid:            TESS Input Catalog ID
#
toipfx,tid
1000,50365310
1001,88863718
1002,124709665
1003,106997505
1004,238597883
1005,169904935
1006,156115721
1007,65212867
1008,440801822
1009,107782586
101,231663901
1010,139853601
1011,114018671
1012,427508467
1013,97700520
1014,96246348
1015,155044736
1016,175310067
1017,182943944
1018,291555748
1019,341420329
102,149603524
1020,140706664
1021,143994283
1022,47384844
1023,238374636
1024,141482386
1025,297967252
1026,388624270
1027,20318757
1027,20318757
1028,447283466
1029,374908020
103,336732616
1030,464296022
1031,304021498
1032,146589986
1033,149601557
1034,400595342
1035,361413119
1036,146172354
1037,363260203
1038,90544017
1039,461867584
104,231670397
1040,310483807
1041,385624852
1042,360286627
1043,90448944
1044,463402815
1045,54044474
1046,309787037
1047,370745311
1048,384549882
1049,16288184
105,144065872
1050,66818296
1051,259863352
1052,317060587
1053,112395568
1054,366989877
1055,320004517
1056,421894914
1057,323132914
1058,31553893
1059,380783252
106,38846515
1060,101230735
1061,253990973
1062,299799658
1063,406976746
1064,79748331
1064,79748331
1065,7088246
1066,201604954
1067,201642601
1068,6663331
1069,31858843
107,92352620
1070,31858844
1071,120247528
1072,140830390
1073,158297421
1074,327301957
1075,351601843
1076,360742636
1077,369960846
1078,370133522
1079,379240073
108,289793076
1080,161032923
1081,253728991
1082,261108236
1083,322270620
1084,380589029
1085,381979901
1086,468148930
1087,426077080
1088,343648136
1089,129319156
109,29344935
1090,361034196
1091,193413306
1092,387079085
1093,382331352
1094,136274063
1095,375223080
1096,375225453
1097,360630575
1098,383390264
1099,290348383
110,281459670
1100,318608749
1101,271581073
1102,311890977
1103,351603103
1104,451599528
1105,274151135
1106,384513078
1107,394561119
1108,295599256
1109,50309953
111,355703913
1110,446549905
1111,412014494
1112,369864738
1113,290348382
1114,409934330
1115,379286801
1116,304100538
1117,295541511
1118,90919952
1119,261369656
112,388104525
1120,143257766
1121,24094603
1122,304774444
1123,469782185
1124,128790976
1125,80166433
1126,405862830
1127,269450900
