n_tree;units;cbh;height
1;4;48,27;4,6
2;4;33,63;5,5
3;4;22;5,5
4;4;21;7,4
5;4;41,21;5,8
6;4;23;4,6
7;4;35,47;7,8
8;4;21;7,2
9;4;32;7,5
10;4;23;7,4
11;4;72,48;9
12;4;18;6,3
13;4;18;4,2
14;4;17;5,5
15;4;23;6,9
16;4;17;6,4
17;4;22;7,4
18;4;20;6,7
19;4;20;4,6
20;4;23;4,9
21;4;20;6
22;4;21,4;5,5
23;4;34;6,9
24;4;48,56;5,7
1;5;46,93;8,6
2;5;21;5
3;5;21;6
4;5;35;8
5;5;17;6,5
6;5;29,73;7,5
7;5;23;6,9
8;5;28,37;7,5
9;5;23;7
10;5;24;7,2
11;5;24,84;7
12;5;27,59;7
13;5;19;8
14;5;64,27;10,7
15;5;32;5,3
16;5;20;5,5
17;5;38;5,8
18;5;25;5,4
19;5;27,86;5
20;5;32,82;6
1;6;23,35;7,4
2;6;21;7,7
3;6;24;7,5
4;6;32,56;9
5;6;18;6,5
6;6;22;7,4
7;6;17;6,5
8;6;19;6,6
9;6;16;7,7
10;6;16;6
11;6;22;5
12;6;27,96;7
13;6;15;6,6
14;6;41,4;9,5
15;6;23,35;6
16;6;23;6,8
17;6;22;7
18;6;35;8
19;6;22;7
20;6;36;9
21;6;38;8,7
22;6;24;7
1;7;27;5,4
2;7;56,83;7
3;7;24,76;4,5
4;7;22;5
5;7;26;5
6;7;34,6;7
7;7;32,5;6
8;7;46,05;6
9;7;36;6,5
10;7;23;5
11;7;33,24;6,8
12;7;33;6
13;7;20;5,5
14;7;23;5
15;7;17;6
16;7;22;7
17;7;31,14;6,5
18;7;28,6;7
19;7;26;6,9
20;7;38,9;7
21;7;34,07;8,5
22;7;16;5
23;7;30;6,7
24;7;43,51;7
1;1;16;4,5
2;1;15;5
3;1;28;6,5
4;1;76,87;8
5;1;24,1;6
6;1;16;5,5
7;1;30;6
8;1;16;5
9;1;22,2;5
10;1;29;6
11;1;26;7
12;1;53;7
13;1;36,4;6
14;1;17;5,5
15;1;17;5
16;1;37,2;7
17;1;54,7;8
18;1;27;5,6
19;1;18;4
20;1;38,47;7
21;1;18;5
22;1;62,9;9
24;1;17;4,5
1;2;28;7,5
2;2;31,62;8
3;2;26,17;6
4;2;29,83;6
5;2;28;7
6;2;29;5
7;2;45,61;8
8;2;23;5,5
9;2;37,7;9
10;2;;
11;2;34,84;7,5
12;2;30;7,8
13;2;43;9
14;2;48,97;6
15;2;20;5
1;3;41,06;5
2;3;52,03;9
3;3;38,33;8
4;3;25;7,4
5;3;60,97;6
6;3;21,93;4
7;3;24,84;3,5
8;3;45,38;9
9;3;22;3
10;3;24,04;4
11;3;39,72;6
12;3;39,6;7
13;3;21;5
14;3;35,67;6,5
15;3;35,83;5
16;3;25;7
17;3;20;7
18;3;20;7,6
19;3;23;7,6
1;8;18;7
2;8;24;7
3;8;28;6,8
4;8;26,17;6,5
5;8;26,25;6,3
6;8;22,47;6,6
7;8;27,96;7
8;8;29;7
9;8;32;7,5
10;8;35;7,8
11;8;33;8
12;8;34;10
13;8;31;8
14;8;33;8,5
15;8;33;7
16;8;22;6
17;8;25;6
18;8;25;6
19;8;22;7
20;8;25;7,4
21;8;24;7
